customer_id,customer_tier,customer_total_orders,customer_total_spend,customer_average_order_value,customer_average_discount,customer_conversion_rate,customer_age_days,customer_days_since_last_order
cust_82e21b4c,PLATINUM,5.0,13309.04,2661.808,0.1461526198683351,0.8333333333333334,779,6.0
cust_1226e2b4,PLATINUM,7.0,15032.15,2147.45,0.17575555694121275,0.6363636363636364,760,3.0
cust_bc936013,GOLD,7.0,9141.15,1305.8785714285714,0.15415705796504559,0.7,529,108.0
cust_12ae9a83,BRONZE,2.0,5492.01,2746.005,0.09808639457605052,0.15384615384615385,1019,56.0
cust_4c4e219c,BRONZE,5.0,9231.11,1846.2220000000002,0.11240521698053758,0.5555555555555556,473,99.0
cust_322bbdef,SILVER,4.0,7947.150000000001,1986.7875000000001,0.09943699957859249,0.5,678,153.0
cust_1d7b20af,SILVER,4.0,6452.98,1613.245,0.09769071324345378,0.5714285714285714,736,80.0
cust_61ea4e53,BRONZE,3.0,7659.86,2553.2866666666664,0.09676600360317568,0.3333333333333333,751,121.0
cust_4d188ce5,SILVER,3.0,9167.17,3055.7233333333334,0.10942387809967384,0.23076923076923078,1084,160.0
cust_c530da41,BRONZE,4.0,8602.4,2150.6,0.11228118924740561,0.4,966,112.0
cust_5199088a,PLATINUM,6.0,6076.620000000001,1012.7700000000001,0.14882802043488327,0.46153846153846156,783,30.0
cust_1ff5ebdc,BRONZE,5.0,7635.16,1527.032,0.21502161797699484,0.5,792,90.0
cust_5e885041,SILVER,5.0,34434.119999999995,6886.823999999999,0.08613980562244096,0.8333333333333334,873,81.0
cust_b0bce66f,BRONZE,4.0,5525.99,1381.4975,0.0987984887777366,0.36363636363636365,487,66.0
cust_16c62d60,SILVER,6.0,10882.59,1813.765,0.0955464602801404,0.46153846153846156,926,4.0
cust_efe291d0,SILVER,3.0,11145.680000000002,3715.2266666666674,0.11405972121616328,0.3333333333333333,1048,167.0
cust_5471fb8a,BRONZE,3.0,9675.96,3225.3199999999997,0.09667508140146355,0.6,381,44.0
cust_7a79b0e8,PLATINUM,4.0,3698.4300000000003,924.6075000000001,0.1472677989258771,0.6666666666666666,951,84.0
cust_41d19430,GOLD,3.0,12590.07,4196.69,0.13204203497275774,0.23076923076923078,426,285.0
cust_42587fc7,PLATINUM,7.0,19130.89,2732.9842857142858,0.1609472434470378,0.7,904,68.0
cust_ebc95cba,GOLD,4.0,17580.95,4395.2375,0.15547108595237483,0.8,642,66.0
cust_36b3c9ac,SILVER,3.0,4705.16,1568.3866666666665,0.0984223087197043,0.3333333333333333,539,71.0
cust_ce1f66a4,PLATINUM,6.0,8687.960000000001,1447.9933333333336,0.1433603659652089,0.42857142857142855,573,29.0
cust_3f9d4565,BRONZE,9.0,39922.92,4435.88,0.10519953434781118,0.6,1039,11.0
cust_969bf7c5,BRONZE,4.0,8684.27,2171.0675,0.07789499866483543,0.4,1017,164.0
cust_b2c27d93,BRONZE,6.0,41631.03,6938.505,0.09126191904422701,0.5454545454545454,889,122.0
cust_7f9dd2bf,BRONZE,4.0,5340.57,1335.1425,0.1145863412161963,0.8,412,57.0
cust_e7123a90,BRONZE,6.0,5389.31,898.2183333333334,0.09206446778947547,0.5454545454545454,755,72.0
cust_7c8d0f0a,BRONZE,4.0,27395.82,6848.955,0.11692522350912017,0.36363636363636365,587,78.0
cust_a2b0c037,GOLD,7.0,10920.84,1560.1200000000001,0.16034563538620034,0.7777777777777778,580,83.0
cust_4ba29bc8,BRONZE,5.0,9423.76,1884.752,0.07476655177664272,0.7142857142857143,890,78.0
cust_94257e9c,BRONZE,6.0,11263.48,1877.2466666666667,0.091542024982572,0.4,665,73.0
cust_3e7091d4,SILVER,3.0,27049.449999999997,9016.483333333332,0.10644590525411136,0.375,931,149.0
cust_9f854076,BRONZE,4.0,2860.4,715.1,0.11698121410844006,0.5,702,21.0
cust_1ba4a61c,GOLD,3.0,4662.16,1554.0533333333333,0.13016068889663868,0.375,1056,119.0
cust_822142bd,BRONZE,3.0,7376.889999999999,2458.963333333333,0.1438014731863771,0.6,1061,93.0
cust_405b3327,PLATINUM,8.0,47402.869999999995,5925.358749999999,0.152968423725013,0.47058823529411764,600,14.0
cust_ceb41cd8,GOLD,9.0,20681.33,2297.9255555555555,0.1482224798573697,0.6923076923076923,547,15.0
cust_1ff88c64,BRONZE,5.0,15665.08,3133.016,0.07807511938240541,0.3333333333333333,409,18.0
cust_83055eb2,BRONZE,3.0,2576.88,858.96,0.07600152411560071,0.375,643,171.0
cust_843ab967,GOLD,7.0,15499.99,2214.2842857142855,0.11432226336615316,0.7777777777777778,397,6.0
cust_802f59e0,GOLD,6.0,14001.39,2333.565,0.12917888932285043,0.8571428571428571,565,15.0
cust_215bbb49,GOLD,7.0,16721.170000000002,2388.7385714285715,0.1225781044450891,0.7,489,58.0
cust_e5e2a4d0,GOLD,6.0,7324.25,1220.7083333333333,0.12611361968528215,0.5454545454545454,975,-15.0
cust_cf13c2af,BRONZE,5.0,5031.9400000000005,1006.3880000000001,0.13108252061421016,0.4166666666666667,410,39.0
cust_275958e1,BRONZE,3.0,22734.76,7578.253333333333,0.3084314461394571,0.5,837,172.0
cust_b957ff58,BRONZE,4.0,8547.5,2136.875,0.09554469070551477,0.5714285714285714,465,22.0
cust_b4a9dca3,GOLD,7.0,14353.460000000001,2050.494285714286,0.1336192735117886,0.5833333333333334,1011,44.0
cust_0b6086ec,SILVER,3.0,8292.22,2764.0733333333333,0.11886075857620189,0.375,922,261.0
cust_fb37096e,BRONZE,4.0,7159.639999999999,1789.9099999999999,0.11196767500298317,0.5,823,29.0
cust_6bebe3ea,BRONZE,4.0,19026.82,4756.705,0.11452027917495852,0.4,922,119.0
cust_2049b501,BRONZE,1.0,5112.54,5112.54,0.12990838035969585,0.125,840,67.0
cust_3880925b,BRONZE,7.0,18939.600000000002,2705.6571428571433,0.10326241768956008,0.6363636363636364,878,41.0
cust_84914d14,GOLD,3.0,8591.369999999999,2863.7899999999995,0.13421052896062166,0.42857142857142855,440,103.0
cust_c4924c0b,SILVER,7.0,19121.57,2731.652857142857,0.12354131539393313,0.5384615384615384,892,21.0
cust_b8d41557,GOLD,8.0,15372.109999999999,1921.5137499999998,0.13444233925832427,0.8,1065,68.0
cust_c56c6575,SILVER,3.0,3716.49,1238.83,0.08414316748777304,0.42857142857142855,529,190.0
cust_3752d640,BRONZE,2.0,2499.52,1249.76,0.10489457286514621,0.3333333333333333,1005,95.0
cust_5329889c,GOLD,9.0,20219.75,2246.6388888888887,0.1295673359207657,0.6923076923076923,1061,-8.0
cust_898c54d5,GOLD,6.0,8851.57,1475.2616666666665,0.11968814559661457,0.6,561,99.0
cust_7adfc319,SILVER,4.0,7600.39,1900.0975,0.09792343378768377,0.4,760,61.0
cust_b5f9471e,GOLD,5.0,15873.83,3174.766,0.13054027565084228,0.5,611,27.0
cust_8647b943,SILVER,3.0,7022.46,2340.82,0.09966114952382175,0.42857142857142855,396,52.0
cust_f6330c6d,SILVER,5.0,11529.49,2305.898,0.10578825435590933,0.45454545454545453,842,70.0
cust_6449b0f4,SILVER,6.0,21470.78,3578.463333333333,0.09676093564240044,0.5,946,112.0
cust_8cdf7d4e,BRONZE,1.0,3712.39,3712.39,0.10159872086529236,0.09090909090909091,514,195.0
cust_b47eadfa,BRONZE,1.0,1494.05,1494.05,0.10791921241406183,0.5,780,186.0
