inventory_id,warehouse_id,product_id,available_quantity,reserved_quantity,updated_at
inv_fad4b55b,wh_e8a64ac1,prod_770c0c43,320,20,2026-09-05 06:10:05.599779
inv_a1be82f2,wh_e8a64ac1,prod_4f0226fb,174,14,2026-09-05 06:10:05.599779
inv_062e5442,wh_e8a64ac1,prod_be2be7f1,236,14,2026-09-05 06:10:05.599779
inv_2407b049,wh_e8a64ac1,prod_e1bddf73,355,6,2026-09-05 06:10:05.599779
inv_a183e228,wh_e8a64ac1,prod_2af333ea,271,15,2026-09-05 06:10:05.599779
inv_98cf0a64,wh_e8a64ac1,prod_09b423f4,416,5,2026-09-05 06:10:05.599779
inv_7a6dde60,wh_e8a64ac1,prod_035d78fc,347,2,2026-09-05 06:10:05.599779
inv_844fe023,wh_e8a64ac1,prod_4e0ad55a,155,16,2026-09-05 06:10:05.599779
inv_69e7b74e,wh_e8a64ac1,prod_24ab3fd0,349,20,2026-09-05 06:10:05.599779
inv_5b3d6036,wh_e8a64ac1,prod_f009ca00,327,10,2026-09-05 06:10:05.599779
inv_1a870e11,wh_e8a64ac1,prod_b9a67276,57,7,2026-09-05 06:10:05.599779
inv_fb8cd981,wh_e8a64ac1,prod_2a053ba0,354,9,2026-09-05 06:10:05.599779
inv_07faffe2,wh_e8a64ac1,prod_ff879477,125,6,2026-09-05 06:10:05.599779
inv_4bc7be9a,wh_e8a64ac1,prod_761255b4,85,0,2026-09-05 06:10:05.599779
inv_0aea958c,wh_e8a64ac1,prod_8713c712,33,7,2026-09-05 06:10:05.599779
inv_db04f798,wh_e8a64ac1,prod_1a600b85,253,19,2026-09-05 06:10:05.599779
inv_f13e7552,wh_e8a64ac1,prod_6bb9d589,445,2,2026-09-05 06:10:05.599779
inv_a9de8f08,wh_e8a64ac1,prod_5d2d5599,243,13,2026-09-05 06:10:05.599779
inv_18b96153,wh_e8a64ac1,prod_ad64d881,463,20,2026-09-05 06:10:05.599779
inv_e4c5a523,wh_e8a64ac1,prod_5aea0ff9,304,6,2026-09-05 06:10:05.599779
inv_c7f87ca9,wh_e8a64ac1,prod_f24c5a18,377,12,2026-09-05 06:10:05.599779
inv_8fcf6a4f,wh_e8a64ac1,prod_704502ed,263,12,2026-09-05 06:10:05.599779
inv_96dc7bc2,wh_e8a64ac1,prod_de12acd0,134,4,2026-09-05 06:10:05.599779
inv_5e3d3bae,wh_e8a64ac1,prod_3cf36411,345,0,2026-09-05 06:10:05.599779
inv_fef265f2,wh_e8a64ac1,prod_582de9a4,467,3,2026-09-05 06:10:05.599779
inv_1b65537c,wh_e8a64ac1,prod_fe300255,408,13,2026-09-05 06:10:05.599779
inv_8593c36f,wh_e8a64ac1,prod_951860a3,122,5,2026-09-05 06:10:05.599779
inv_c0b82417,wh_e8a64ac1,prod_7a535b91,421,16,2026-09-05 06:10:05.599779
inv_4a00e42e,wh_8fd252ce,prod_aa9c466e,247,1,2026-09-05 06:10:05.599779
inv_39882a60,wh_8fd252ce,prod_b3825ee4,295,7,2026-09-05 06:10:05.599779
inv_ce41e9a5,wh_8fd252ce,prod_587805bf,479,3,2026-09-05 06:10:05.599779
inv_90a6c7c9,wh_8fd252ce,prod_54709729,243,4,2026-09-05 06:10:05.599779
inv_eab4fab8,wh_8fd252ce,prod_b572f27a,420,14,2026-09-05 06:10:05.599779
inv_572194f1,wh_8fd252ce,prod_cb6fc0eb,351,16,2026-09-05 06:10:05.599779
inv_64854ef3,wh_8fd252ce,prod_308881b9,296,19,2026-09-05 06:10:05.599779
inv_1d5d7778,wh_8fd252ce,prod_3bcbd935,172,14,2026-09-05 06:10:05.599779
inv_aacf658e,wh_8fd252ce,prod_86baf995,323,16,2026-09-05 06:10:05.599779
inv_9eb275a8,wh_8fd252ce,prod_566c0f49,228,17,2026-09-05 06:10:05.599779
inv_8eb16f76,wh_8fd252ce,prod_b2f3a8f7,238,5,2026-09-05 06:10:05.599779
inv_557a6d29,wh_8fd252ce,prod_67da2a8c,390,15,2026-09-05 06:10:05.599779
inv_0ef90dca,wh_8fd252ce,prod_7afc80e5,240,8,2026-09-05 06:10:05.599779
inv_a0e0ce74,wh_8fd252ce,prod_039421d7,394,7,2026-09-05 06:10:05.599779
inv_c8dde34a,wh_8fd252ce,prod_971152aa,440,20,2026-09-05 06:10:05.599779
inv_3f60dd87,wh_8fd252ce,prod_bcde7343,151,16,2026-09-05 06:10:05.599779
inv_d6e6de19,wh_8fd252ce,prod_bfb5489d,258,20,2026-09-05 06:10:05.599779
inv_046b4852,wh_8fd252ce,prod_53e1d316,132,8,2026-09-05 06:10:05.599779
inv_29f9c912,wh_8fd252ce,prod_81feaa25,235,2,2026-09-05 06:10:05.599779
inv_11d99a61,wh_8fd252ce,prod_71507ccd,375,9,2026-09-05 06:10:05.599779
inv_d4b26a5e,wh_8fd252ce,prod_c5ca2c8c,130,8,2026-09-05 06:10:05.599779
inv_13ba12eb,wh_8fd252ce,prod_64c08afc,181,10,2026-09-05 06:10:05.599779
inv_6f6183c3,wh_8fd252ce,prod_770c0c43,467,17,2026-09-05 06:10:05.599779
inv_26f19d68,wh_8fd252ce,prod_4f0226fb,51,4,2026-09-05 06:10:05.599779
inv_f9355d88,wh_8fd252ce,prod_be2be7f1,87,7,2026-09-05 06:10:05.599779
inv_53b6c6d6,wh_8fd252ce,prod_e1bddf73,206,4,2026-09-05 06:10:05.599779
inv_9789aa02,wh_8fd252ce,prod_2af333ea,371,6,2026-09-05 06:10:05.599779
inv_e4fd880a,wh_8fd252ce,prod_09b423f4,42,13,2026-09-05 06:10:05.599779
inv_119d012e,wh_8fd252ce,prod_035d78fc,218,10,2026-09-05 06:10:05.599779
inv_2476f31a,wh_8fd252ce,prod_4e0ad55a,287,14,2026-09-05 06:10:05.599779
inv_f42dd899,wh_8fd252ce,prod_24ab3fd0,222,1,2026-09-05 06:10:05.599779
inv_8dcc99cb,wh_8fd252ce,prod_f009ca00,115,13,2026-09-05 06:10:05.599779
inv_8ee3b32e,wh_8fd252ce,prod_b9a67276,209,18,2026-09-05 06:10:05.599779
inv_5c9493ef,wh_8fd252ce,prod_2a053ba0,494,0,2026-09-05 06:10:05.599779
inv_6cd36d11,wh_8fd252ce,prod_ff879477,448,18,2026-09-05 06:10:05.599779
inv_9f19524f,wh_8fd252ce,prod_761255b4,204,15,2026-09-05 06:10:05.599779
inv_f6ba04d8,wh_8fd252ce,prod_8713c712,13,11,2026-09-05 06:10:05.599779
inv_012f0fe5,wh_8fd252ce,prod_1a600b85,162,12,2026-09-05 06:10:05.599779
inv_9179fb4a,wh_8fd252ce,prod_6bb9d589,446,13,2026-09-05 06:10:05.599779
inv_fd22b068,wh_8fd252ce,prod_5d2d5599,285,17,2026-09-05 06:10:05.599779
inv_2687107d,wh_8fd252ce,prod_ad64d881,419,19,2026-09-05 06:10:05.599779
inv_7bd2fd1c,wh_8fd252ce,prod_5aea0ff9,469,7,2026-09-05 06:10:05.599779
inv_8866350d,wh_8fd252ce,prod_f24c5a18,259,7,2026-09-05 06:10:05.599779
inv_00d44407,wh_8fd252ce,prod_704502ed,149,13,2026-09-05 06:10:05.599779
inv_ac73a8d0,wh_8fd252ce,prod_de12acd0,258,0,2026-09-05 06:10:05.599779
inv_fb28c44e,wh_8fd252ce,prod_3cf36411,209,10,2026-09-05 06:10:05.599779
inv_e5416f2a,wh_8fd252ce,prod_582de9a4,352,12,2026-09-05 06:10:05.599779
inv_40e455f1,wh_8fd252ce,prod_fe300255,380,5,2026-09-05 06:10:05.599779
inv_d6e62253,wh_8fd252ce,prod_951860a3,440,14,2026-09-05 06:10:05.599779
inv_d812955e,wh_8fd252ce,prod_7a535b91,480,4,2026-09-05 06:10:05.599779
inv_e2c5a6f8,wh_c4990f96,prod_aa9c466e,328,17,2026-09-05 06:10:05.599779
inv_9878c9a0,wh_c4990f96,prod_b3825ee4,23,12,2026-09-05 06:10:05.599779
inv_e6a2a175,wh_c4990f96,prod_587805bf,313,18,2026-09-05 06:10:05.599779
inv_da58552a,wh_c4990f96,prod_54709729,349,0,2026-09-05 06:10:05.599779
inv_aad09c30,wh_c4990f96,prod_b572f27a,52,20,2026-09-05 06:10:05.599779
inv_5d415c6d,wh_c4990f96,prod_cb6fc0eb,229,4,2026-09-05 06:10:05.599779
inv_7c3a317e,wh_c4990f96,prod_308881b9,453,14,2026-09-05 06:10:05.599779
inv_22cf581c,wh_c4990f96,prod_3bcbd935,103,1,2026-09-05 06:10:05.599779
inv_d3d35325,wh_c4990f96,prod_86baf995,143,12,2026-09-05 06:10:05.599779
inv_bc8d34ba,wh_c4990f96,prod_566c0f49,177,6,2026-09-05 06:10:05.599779
inv_6a0752d5,wh_c4990f96,prod_b2f3a8f7,242,10,2026-09-05 06:10:05.599779
inv_a066bad4,wh_c4990f96,prod_67da2a8c,182,12,2026-09-05 06:10:05.599779
inv_c314733d,wh_c4990f96,prod_7afc80e5,152,13,2026-09-05 06:10:05.599779
inv_37b902da,wh_c4990f96,prod_039421d7,139,2,2026-09-05 06:10:05.599779
inv_d9a5f4d3,wh_c4990f96,prod_971152aa,250,0,2026-09-05 06:10:05.599779
inv_a15c5d94,wh_c4990f96,prod_bcde7343,393,17,2026-09-05 06:10:05.599779
inv_9fa6b8c6,wh_c4990f96,prod_bfb5489d,36,11,2026-09-05 06:10:05.599779
inv_0a010109,wh_c4990f96,prod_53e1d316,124,20,2026-09-05 06:10:05.599779
inv_f33580e5,wh_c4990f96,prod_81feaa25,45,20,2026-09-05 06:10:05.599779
inv_4f4e9e8d,wh_c4990f96,prod_71507ccd,30,0,2026-09-05 06:10:05.599779
inv_5abc291a,wh_c4990f96,prod_c5ca2c8c,496,7,2026-09-05 06:10:05.599779
inv_4447b66d,wh_c4990f96,prod_64c08afc,112,0,2026-09-05 06:10:05.599779
inv_d7cf6864,wh_c4990f96,prod_770c0c43,328,4,2026-09-05 06:10:05.599779
inv_4bee488a,wh_c4990f96,prod_4f0226fb,132,4,2026-09-05 06:10:05.599779
inv_6852a54b,wh_c4990f96,prod_be2be7f1,252,3,2026-09-05 06:10:05.599779
inv_cf5ea0ce,wh_c4990f96,prod_e1bddf73,298,6,2026-09-05 06:10:05.599779
inv_505102ac,wh_c4990f96,prod_2af333ea,248,8,2026-09-05 06:10:05.599779
inv_c3278c5d,wh_c4990f96,prod_09b423f4,402,11,2026-09-05 06:10:05.599779
inv_1b580dcb,wh_c4990f96,prod_035d78fc,95,19,2026-09-05 06:10:05.599779
inv_bcd8a298,wh_c4990f96,prod_4e0ad55a,320,3,2026-09-05 06:10:05.599779
inv_76674f9e,wh_c4990f96,prod_24ab3fd0,408,5,2026-09-05 06:10:05.599779
inv_c05e59b5,wh_c4990f96,prod_f009ca00,169,3,2026-09-05 06:10:05.599779
inv_229f83d1,wh_c4990f96,prod_b9a67276,306,0,2026-09-05 06:10:05.599779
inv_e2fdcf48,wh_c4990f96,prod_2a053ba0,485,9,2026-09-05 06:10:05.599779
inv_a1192efb,wh_c4990f96,prod_ff879477,304,12,2026-09-05 06:10:05.599779
inv_03117cd0,wh_c4990f96,prod_761255b4,213,6,2026-09-05 06:10:05.599779
inv_f80ba93a,wh_c4990f96,prod_8713c712,48,18,2026-09-05 06:10:05.599779
inv_aede08ff,wh_c4990f96,prod_1a600b85,363,20,2026-09-05 06:10:05.599779
inv_cf8d277a,wh_c4990f96,prod_6bb9d589,134,3,2026-09-05 06:10:05.599779
inv_aa6e0151,wh_c4990f96,prod_5d2d5599,366,9,2026-09-05 06:10:05.599779
inv_17aeac97,wh_c4990f96,prod_ad64d881,445,19,2026-09-05 06:10:05.599779
inv_d2243e2f,wh_c4990f96,prod_5aea0ff9,422,3,2026-09-05 06:10:05.599779
inv_133b17f4,wh_c4990f96,prod_f24c5a18,417,18,2026-09-05 06:10:05.599779
inv_c0622e00,wh_c4990f96,prod_704502ed,410,1,2026-09-05 06:10:05.599779
inv_786c258c,wh_c4990f96,prod_de12acd0,187,17,2026-09-05 06:10:05.599779
inv_329e2481,wh_c4990f96,prod_3cf36411,229,11,2026-09-05 06:10:05.599779
inv_10f00971,wh_c4990f96,prod_582de9a4,45,16,2026-09-05 06:10:05.599779
inv_5e03e5ea,wh_c4990f96,prod_fe300255,341,10,2026-09-05 06:10:05.599779
inv_83ebe231,wh_c4990f96,prod_951860a3,16,13,2026-09-05 06:10:05.599779
inv_5cec8434,wh_c4990f96,prod_7a535b91,431,15,2026-09-05 06:10:05.599779
inv_1e838a48,wh_50d33dfc,prod_aa9c466e,64,13,2026-09-05 06:10:05.599779
inv_10702def,wh_50d33dfc,prod_b3825ee4,195,20,2026-09-05 06:10:05.599779
inv_95dfd730,wh_50d33dfc,prod_587805bf,466,14,2026-09-05 06:10:05.599779
inv_63249616,wh_50d33dfc,prod_54709729,372,4,2026-09-05 06:10:05.599779
inv_4d493b2d,wh_50d33dfc,prod_b572f27a,232,5,2026-09-05 06:10:05.599779
inv_3f13eb03,wh_50d33dfc,prod_cb6fc0eb,385,16,2026-09-05 06:10:05.599779
inv_a9361a46,wh_50d33dfc,prod_308881b9,343,8,2026-09-05 06:10:05.599779
inv_1a26c4b4,wh_50d33dfc,prod_3bcbd935,325,17,2026-09-05 06:10:05.599779
inv_a7357642,wh_50d33dfc,prod_86baf995,406,15,2026-09-05 06:10:05.599779
inv_0af2753d,wh_50d33dfc,prod_566c0f49,248,13,2026-09-05 06:10:05.599779
inv_1e4fb1ab,wh_50d33dfc,prod_b2f3a8f7,432,18,2026-09-05 06:10:05.599779
inv_b316aa61,wh_50d33dfc,prod_67da2a8c,147,10,2026-09-05 06:10:05.599779
inv_e52b418a,wh_50d33dfc,prod_7afc80e5,446,7,2026-09-05 06:10:05.599779
inv_f627bb37,wh_50d33dfc,prod_039421d7,435,2,2026-09-05 06:10:05.599779
inv_486285f2,wh_50d33dfc,prod_971152aa,152,14,2026-09-05 06:10:05.599779
inv_c979cc47,wh_50d33dfc,prod_bcde7343,134,14,2026-09-05 06:10:05.599779
inv_47e1eefe,wh_50d33dfc,prod_bfb5489d,301,19,2026-09-05 06:10:05.599779
inv_7071b2a4,wh_50d33dfc,prod_53e1d316,352,12,2026-09-05 06:10:05.599779
inv_b7d678ee,wh_50d33dfc,prod_81feaa25,182,0,2026-09-05 06:10:05.599779
inv_b70dea6b,wh_50d33dfc,prod_71507ccd,263,10,2026-09-05 06:10:05.599779
inv_38ee9217,wh_50d33dfc,prod_c5ca2c8c,103,15,2026-09-05 06:10:05.599779
inv_df7f458b,wh_50d33dfc,prod_64c08afc,118,11,2026-09-05 06:10:05.599779
inv_977c4358,wh_50d33dfc,prod_770c0c43,418,8,2026-09-05 06:10:05.599779
inv_81a2ca9d,wh_50d33dfc,prod_4f0226fb,184,8,2026-09-05 06:10:05.599779
inv_09d8a429,wh_50d33dfc,prod_be2be7f1,460,19,2026-09-05 06:10:05.599779
inv_cba7be38,wh_50d33dfc,prod_e1bddf73,369,8,2026-09-05 06:10:05.599779
inv_00718fee,wh_50d33dfc,prod_2af333ea,294,0,2026-09-05 06:10:05.599779
inv_b2fd2eb5,wh_50d33dfc,prod_09b423f4,274,6,2026-09-05 06:10:05.599779
inv_3467b352,wh_50d33dfc,prod_035d78fc,53,7,2026-09-05 06:10:05.599779
inv_78753929,wh_50d33dfc,prod_4e0ad55a,378,13,2026-09-05 06:10:05.599779
inv_8c9861e6,wh_50d33dfc,prod_24ab3fd0,260,17,2026-09-05 06:10:05.599779
inv_1f63a11c,wh_50d33dfc,prod_f009ca00,398,7,2026-09-05 06:10:05.599779
inv_e04220a6,wh_50d33dfc,prod_b9a67276,363,15,2026-09-05 06:10:05.599779
inv_57a19c5d,wh_50d33dfc,prod_2a053ba0,340,15,2026-09-05 06:10:05.599779
inv_4d723f15,wh_50d33dfc,prod_ff879477,239,0,2026-09-05 06:10:05.599779
inv_c80f4e30,wh_50d33dfc,prod_761255b4,57,9,2026-09-05 06:10:05.599779
inv_f8ed8fa1,wh_50d33dfc,prod_8713c712,123,12,2026-09-05 06:10:05.599779
inv_4b82a961,wh_50d33dfc,prod_1a600b85,364,7,2026-09-05 06:10:05.599779
inv_3af9ab7f,wh_50d33dfc,prod_6bb9d589,166,18,2026-09-05 06:10:05.599779
inv_07e02ecf,wh_50d33dfc,prod_5d2d5599,198,15,2026-09-05 06:10:05.599779
inv_308ae2af,wh_50d33dfc,prod_ad64d881,293,16,2026-09-05 06:10:05.599779
inv_d2a29617,wh_50d33dfc,prod_5aea0ff9,186,13,2026-09-05 06:10:05.599779
inv_ebe64357,wh_50d33dfc,prod_f24c5a18,391,17,2026-09-05 06:10:05.599779
inv_97f92a8a,wh_50d33dfc,prod_704502ed,179,11,2026-09-05 06:10:05.599779
inv_83d27997,wh_50d33dfc,prod_de12acd0,369,14,2026-09-05 06:10:05.599779
inv_9a425c6b,wh_50d33dfc,prod_3cf36411,148,9,2026-09-05 06:10:05.599779
inv_5fe41c3f,wh_50d33dfc,prod_582de9a4,138,7,2026-09-05 06:10:05.599779
inv_59173f2f,wh_50d33dfc,prod_fe300255,71,6,2026-09-05 06:10:05.599779
inv_cd7f5e2b,wh_50d33dfc,prod_951860a3,171,3,2026-09-05 06:10:05.599779
inv_c9a6ae94,wh_50d33dfc,prod_7a535b91,390,17,2026-09-05 06:10:05.599779
