customer_id,customer_name,customer_tier,industry,region,created_at
cust_fb37096e,Hoover-Savage,BRONZE,Technology,EMEA,2024-06-03 08:29:36
cust_6bebe3ea,Keller Group,BRONZE,Technology,North America,2024-02-25 21:59:03
cust_2049b501,Lin-Rasmussen,BRONZE,Healthcare,North America,2024-05-17 17:38:03
cust_3880925b,May-Ross,BRONZE,Manufacturing,EMEA,2024-04-09 13:39:18
cust_84914d14,"Rivera, Johnson and Wiley",GOLD,Healthcare,LATAM,2025-06-22 01:22:19
cust_c4924c0b,Carpenter LLC,SILVER,Finance,EMEA,2024-03-26 15:47:32
cust_b8d41557,Carlson LLC,GOLD,Manufacturing,LATAM,2023-10-05 11:33:14
cust_c56c6575,Graham-Joyce,SILVER,Finance,LATAM,2025-03-24 15:27:08
cust_3752d640,Lam-Lee,BRONZE,Education,EMEA,2023-12-04 14:10:54
cust_5329889c,"Graham, Meyer and Drake",GOLD,Technology,North America,2023-10-10 05:48:46
cust_898c54d5,"Bentley, Mclaughlin and Gonzalez",GOLD,Education,APAC,2025-02-20 06:19:59
cust_7adfc319,Rush LLC,SILVER,Education,LATAM,2024-08-05 18:21:15
cust_b5f9471e,Alvarado-Martinez,GOLD,Education,North America,2025-01-01 18:50:48
cust_8647b943,Hunter-Estrada,SILVER,Technology,North America,2025-08-04 20:28:37
cust_f6330c6d,Terry-Spencer,SILVER,Education,APAC,2024-05-16 02:52:41
cust_6449b0f4,Ortega-Gray,SILVER,Technology,EMEA,2024-02-01 18:32:47
cust_8cdf7d4e,Gilbert LLC,BRONZE,Finance,EMEA,2025-04-08 20:37:37
cust_b47eadfa,"Bass, Torres and Clark",BRONZE,Manufacturing,LATAM,2024-07-17 04:10:40
